	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	berger_parker_d	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	observed_features	robbins	robbins	robbins	robbins	robbins	robbins	robbins	robbins	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	shannon_entropy	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd	faith_pd
	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max	count	mean	std	min	25%	50%	75%	max
dataset																																								
346_asian_Indonesia	56.0	0.15048865399051406	0.06493430400762533	0.0566080803469527	0.1	0.1416978637148047	0.19882138262074425	0.2990970654627539	56.0	243.48214285714286	55.917793906096435	71.0	200.75	246.5	286.0	336.0	56.0	0.005010327197224761	0.0015335703063860595	0.0020525451559934	0.00414740633410105	0.0048377249892567	0.005507324867584399	0.01	56.0	5.871290469387249	0.560906406246547	3.808545097321656	5.488237949721937	5.931898496194963	6.295059955817047	6.81357899089845	56.0	17.506984552660608	2.778386479137683	7.299824700558737	15.518819361076549	18.072103102313648	19.764830040412736	23.41433508760954
346_asian_Japan	83.0	0.1403361209582547	0.06347085926462498	0.0471904646071515	0.09450538396867594	0.1224895166629883	0.17581744013833683	0.3570075757575757	83.0	153.5421686746988	27.63980039673228	87.0	137.0	150.0	172.0	236.0	83.0	0.0036214528674114537	0.001417259318508466	0.0011684518013631	0.002499287999012	0.0034879665155214	0.0044187370619876	0.0086132644272179	83.0	5.427304918648448	0.49554284031757534	3.97650888533745	5.144515714043982	5.495107718649752	5.749334235850788	6.281571717254809	83.0	14.269394643180306	1.4086440390948174	10.5272451538206	13.27349019630471	14.382431546153516	15.241058813049033	17.542146834659526
346_asian_Philippines	43.0	0.11018068181397837	0.04750446229258674	0.0320620992237597	0.08116466771405581	0.0991062039957939	0.138619380757196	0.2134181607865818	43.0	158.90697674418604	37.457794632593384	56.0	131.0	159.0	182.5	259.0	43.0	0.004156293467440939	0.00227570169741073	0.0	0.00278688224533915	0.0034808552958727	0.0054911498390599	0.0101677681748856	43.0	5.914034038935158	0.544026330815039	4.42814263728256	5.587840625905788	5.99969054616856	6.2385522753265	7.1976815270572185	43.0	20.072445051573588	2.2098690109642836	13.654169529461752	18.59719998803429	20.24234455681827	21.316552514371132	26.339291931362663
346_asian_Taiwan	53.0	0.1284960521543303	0.07127579040664182	0.0394862036156041	0.0857596611964002	0.1135907163579558	0.1531852472757753	0.4326169405815424	53.0	167.45283018867926	36.7698486627583	85.0	145.0	163.0	192.0	265.0	53.0	0.004580370212267051	0.0024717775772266923	0.0019667832167832	0.0028248587570621	0.0038674033149171	0.0052331113225499	0.0159332321699544	53.0	5.655974094327419	0.5624341485354362	3.939172433243787	5.466562329302739	5.693652918576976	6.022270685529568	6.599915693051114	53.0	14.782775781997628	1.581974746069853	10.88740589202002	13.485094438900925	14.811710574598663	15.981100187720662	18.29962352646813
346_asian_Thailand	52.0	0.1393702447804094	0.05535842674859593	0.0510690934794133	0.10283379997432021	0.12842051183206923	0.1616176231731214	0.3249460819554277	52.0	221.96153846153845	60.05029314991433	97.0	178.0	214.5	271.25	348.0	52.0	0.004742936053849066	0.0020319270962996924	0.0008835483300936	0.00352936235346815	0.00445600247096895	0.005777981871773025	0.0098146128680479	52.0	5.7874031842286415	0.568800492760178	3.744146994193122	5.56054726342812	5.889625106811172	6.096764737540373	7.056614028414307	52.0	16.049671145699406	2.4280899285565716	9.81085705092979	14.599508605967467	15.67100174891656	17.469971599491696	22.615230190583983
34_L_H_Fibre_Placebo	32.0	0.12131468591135577	0.05567375810276201	0.0509517772637976	0.0800508684650008	0.10609494471888095	0.13664247908406052	0.2801302931596091	32.0	229.375	56.39306180156242	135.0	190.5	219.5	258.5	372.0	32.0	6.997817944755444e-05	4.643673568636742e-05	1.2695188523549574e-05	3.37603202066199e-05	6.417491178349041e-05	8.75848239647818e-05	0.0002087769844252	32.0	5.7547870692529	0.518279862347251	4.864706246197791	5.264685229301542	5.896091114834456	6.139546444277945	6.609652551773903	32.0	14.531947749463882	3.182619402228994	9.374974380578449	11.796423972611342	14.238687141624666	16.899528978462037	20.84477716484916
34_L_H_Fibre_Prebiotic	36.0	0.12063519156076749	0.05178506485616904	0.0501200517919772	0.0887664705397012	0.1035431416366185	0.15301275550423646	0.2653158342934428	36.0	195.30555555555554	63.70414628553038	35.0	154.0	189.0	243.25	352.0	36.0	4.8512875324246095e-05	4.4333827431538526e-05	0.0	6.782051977646358e-06	4.6087188395402354e-05	7.875999842215105e-05	0.0001760563380281	36.0	5.553186543567152	0.49275477788912503	4.521072628253188	5.165377416789894	5.647755138332162	5.90955068200967	6.682397899678153	36.0	12.416055878026881	3.0432806917893362	6.455121824563085	10.069632640672893	12.106322098907693	14.37969524895316	19.36713461578048
34_L_H_Fibre_dada_Placebo	32.0	0.12131468591135577	0.05567375810276201	0.0509517772637976	0.0800508684650008	0.10609494471888095	0.13664247908406052	0.2801302931596091	32.0	229.375	56.39306180156242	135.0	190.5	219.5	258.5	372.0	32.0	6.997817944755444e-05	4.643673568636742e-05	1.2695188523549574e-05	3.37603202066199e-05	6.417491178349041e-05	8.75848239647818e-05	0.0002087769844252	32.0	5.7547870692529	0.518279862347251	4.864706246197791	5.264685229301542	5.896091114834456	6.139546444277945	6.609652551773903	32.0	14.531947749463882	3.182619402228994	9.374974380578449	11.796423972611342	14.238687141624666	16.899528978462037	20.84477716484916
34_L_H_Fibre_dada_Prebiotic	36.0	0.12063519156076749	0.05178506485616904	0.0501200517919772	0.0887664705397012	0.1035431416366185	0.15301275550423646	0.2653158342934428	36.0	195.30555555555554	63.70414628553038	35.0	154.0	189.0	243.25	352.0	36.0	4.8512875324246095e-05	4.4333827431538526e-05	0.0	6.782051977646358e-06	4.6087188395402354e-05	7.875999842215105e-05	0.0001760563380281	36.0	5.553186543567152	0.49275477788912503	4.521072628253188	5.165377416789894	5.647755138332162	5.90955068200967	6.682397899678153	36.0	12.416055878026881	3.0432806917893362	6.455121824563085	10.069632640672893	12.106322098907693	14.37969524895316	19.36713461578048
471_swedish_5Y	287.0	0.15285524557493638	0.08863809726012174	0.0553238268245713	0.09915265790415585	0.1277345835679961	0.17802823488291475	0.9035859028748844	287.0	240.05574912891987	62.775298803819894	94.0	198.0	236.0	278.5	426.0	287.0	0.00013776175696453527	9.27907535986037e-05	1.6147784523963313e-05	7.56226789912429e-05	0.000115834588208	0.000174524597433	0.0006615631792836	287.0	5.330766847701048	0.6201432914996367	0.9006803886087191	5.055561778296142	5.409494075268261	5.753019070391276	6.416484575317576	287.0	21.77884075056616	4.461233699303818	10.71321189258	18.672235852616588	21.391041172745982	24.452013736888453	35.340412460287496
